User ID,subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,,,,,GenderinDevice,,,,,,,,,,,,,,,,User ID,subscription Type,Monthly Revenue,Join,Date,Country,Age,Gender,Device,
1,Basic,10,15-01-22,10/6/2023,United States,28,Male,Smartphone,1 Month,,,Smart tv,,,,,,,,,,,,,,,,,,1,Basic,10,15-01-22,,United States,28,Male,Smartphone,
2,Basic,15,5/9/2021,22-06-23,Canada,35,Female,Tablet,1 Month,,,,,,,,,,,,,,,,,,,,,2,Basic,15,44325,,Canada,35,Female,Tablet,
3,Basic,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart tv,1 Month,,#NAME?,,,,,,,,,,,,,,,,,,,3,Basic,12,28-02-23,,United Kingdom,42,Male,Smart,TV
4,Basic,12,10/7/2022,26-06-23,Australia,51,Female,Laptop,1 Month,Laptop,,1,,,,,,,,,,,,,,,,,,4,Basic,12,44841,,Australia,51,Female,Laptop,
5,Basic,10,1/5/2023,28-06-23,Germany,33,Male,Smartphone,1 Month,,,1,Laptop,,,,,,,,,,,,,,,,,5,Basic,10,44931,,Germany,33,Male,Smartphone,
6,Basic,15,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month,,FranceinBasic,,Laptop,,,,,,,,,,,,,,,,,6,Basic,15,18-03-22,,France,29,Female,Smart,TV
7,Basic,12,9/12/2021,25-06-23,Brazil,46,Male,Tablet,1 Month,,,,,"12,44841,26-06-23,Australia,51,Female,Laptop,1 Month,10,44931,28-06-23,Germany,33,Male,Smartphone,1 Month,15,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month",,,,,,,,,,,,,,,,7,Basic,12,44451,,Brazil,46,Male,Tablet,
8,Basic,10,2/4/2023,24-06-23,Mexico,39,Female,Laptop,1 Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Basic,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,1 Month,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,,,,,,
10,Basic,15,7/1/2023,22-06-23,Italy,44,Female,Smart TV,1 Month,,,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,
